,Node 1,Node 2,R (% on 100MVA),X (% on 100MVA),B (% on 100MVA),Winter Rating (MVA),Dataframe,Node 1 bus_id,Node 2 bus_id,Voltage (kV) Node 1,Voltage (kV) Node 2,Year,Status
221,FROD21,FROD11,0.1927,8.5256,-0.5357,211,nget_tx,253,256,275,132,,
222,FROD22,FROD11,0.1392,8.4361,-0.781,269,nget_tx,255,256,275,132,,
223,FROD41,FROD11,0.054,4.8906,-0.1253,499,nget_tx,254,256,400,132,,
224,FROD41,FROD21,0.0176,1.5828,-0.1018,1000,nget_tx,254,253,400,275,,
225,FROD41,FROD22,0.0132,1.6756,-0.4337,1063,nget_tx,254,255,400,275,,
226,FROD41,WEAV71,0.0032,0.0205,-0.1224,80,nget_tx,254,778,400,25,,
227,FROD41,WEAV71,0.0032,0.0205,-0.1224,80,nget_tx,254,778,400,25,,
228,GRAI41,GRAI11,0.1307,7.9515,-0.1098,263,nget_tx,260,259,400,132,,
229,GRAI41,GRAI11,0.1307,7.9515,-0.1098,263,nget_tx,260,259,400,132,,
230,GREN41,GREN11,0.1557,8.3736,-0.4146,279,nget_tx,269,268,400,132,,
231,GREN41,GREN11,0.1312,7.9156,-0.537,278,nget_tx,269,268,400,132,,
232,GREN41,GREN11,0.1557,8.3736,-0.4146,278,nget_tx,269,268,400,132,,
233,GREN41,GREN12,0.1557,8.3736,-0.4146,279,nget_tx,269,267,400,132,,
234,GREN41,GREN12,0.1035,7.8472,-0.0758,240,nget_tx,269,267,400,132,,
235,GRIW41,GRIW11,0.1658,8.4025,-1.5604,273,nget_tx,273,274,400,132,,
236,GRIW41,GRIW12,0.1658,8.4025,-1.5604,268,nget_tx,273,275,400,132,,
237,HACK2A,HACK61,0.2793,13.3304,-0.6737,191,nget_tx,279,281,275,66,,
238,HACK2B,HACK61,0.2793,13.3304,-0.6737,191,nget_tx,280,281,275,66,,
239,HACK41,HACK11,0.1303,7.8698,-0.4285,278,nget_tx,282,278,400,132,,
240,HACK41,HACK11,0.1303,7.8698,-0.4285,278,nget_tx,282,278,400,132,,
241,HACK41,HACK11,0.1303,7.8698,-0.4285,278,nget_tx,282,278,400,132,,
242,HACK41,HACK2A,0.0182,1.5763,-0.0904,1210,nget_tx,282,279,400,275,,
243,HACK41,HACK2B,0.0182,1.5763,-0.0904,1210,nget_tx,282,280,400,275,,
244,HAMH41,HAMH2A,0.0175,1.5879,-4.0069,1147,nget_tx,286,287,400,275,,
245,HAMH41,LEMR11,0.1094,8.5335,-0.0989,278,nget_tx,286,396,400,132,,
246,HAMH41,LEMR11,0.1118,8.3874,-0.0906,263,nget_tx,286,396,400,132,,
247,HAMH41,LEMR11,0.1118,8.3874,-0.0906,263,nget_tx,286,396,400,132,,
248,HAMH41,LEMR11,0.1094,8.5335,-0.0989,263,nget_tx,286,396,400,132,,
249,HARM21,HARM61,0.3726,16.7215,-0.6945,127,nget_tx,303,302,275,66,,
250,HARM21,HARM61,0.3726,16.7215,-0.6945,127,nget_tx,303,302,275,66,,
251,HAWP21,HAWP61,0.2793,13.3304,-0.6737,192,nget_tx,308,306,275,66,,
252,HAWP21,HAWP61,0.2793,13.3304,-0.6737,191,nget_tx,308,306,275,66,,
253,HAWP4A,HAWP21,0.0132,1.6756,-0.4337,1063,nget_tx,307,308,400,275,,
254,HEYS41,HEYS11,0.122,8.1963,-0.2446,277,nget_tx,312,311,400,132,,
255,HEYS41,HEYS11,0.1658,8.4025,-1.5604,275,nget_tx,312,311,400,132,,
256,HEYS41,HEYS11,0.1372,8.0197,-0.1238,240,nget_tx,312,311,400,132,,
257,HIBU41,ISLI11,0.1264,8.4534,-0.357,240,nget_tx,316,344,400,132,,
258,HIBU41,ISLI11,0.1264,8.4534,-0.357,240,nget_tx,316,344,400,132,,
259,HIBU41,ISLI11,0.1264,8.4534,-0.357,240,nget_tx,316,344,400,132,,
260,HIGM41,HIGM21,0.0186,1.5729,-7.729,1044,nget_tx,314,313,400,275,,
261,HIGM41,HIGM4A,0.0002,0.2873,0.0,2750,nget_tx,314,315,400,400,,
262,HINP41,HINP21,0.0363,2.4397,-2.1073,539,nget_tx,317,318,400,275,,
263,HINP41,HINP22,0.0376,2.3797,-3.9009,507,nget_tx,317,319,400,275,,
264,HUMR41,HUMR31,0.6667,22.467,-0.1612,90,nget_tx,321,320,400,33,,
265,HUMR41,HUMR31,0.6667,22.256,-0.1612,90,nget_tx,321,320,400,33,,
266,HURS21,HURS1B,0.1221,8.0467,-0.0391,279,nget_tx,322,325,275,132,,
267,HURS21,HURS1C,0.1382,8.1742,-0.1786,279,nget_tx,322,323,275,132,,
268,HURS21,HURS1D,0.1392,8.4361,-0.781,279,nget_tx,322,324,275,132,,
269,HUTT41,HUTT11,0.1621,8.0984,-0.0747,265,nget_tx,326,328,400,132,,
270,HUTT41,HUTT11,0.1621,8.0984,-0.0747,264,nget_tx,326,328,400,132,,
271,HUTT41,HUTT71,0.0032,0.0208,0.0,80,nget_tx,326,330,400,25,,
272,HUTT41,HUTT71,0.0032,0.0208,0.0,80,nget_tx,326,330,400,25,,
273,IMPP41,IMPP31,0.2262,15.019,-0.0538,143,nget_tx,332,331,400,33,,
274,IMPP41,IMPP31,0.2262,15.019,-0.0538,143,nget_tx,332,331,400,33,,
275,INDQ41,INDQ11,0.1302,8.4532,-10.3672,278,nget_tx,335,334,400,132,,
276,INDQ41,INDQ11,0.1303,7.8698,-0.4285,278,nget_tx,335,334,400,132,,
277,INDQ41,INDQ11,0.1278,8.0061,-0.2276,256,nget_tx,335,334,400,132,,
278,INDQ41,INDQ11,0.1471,8.4008,-0.1719,254,nget_tx,335,334,400,132,,
279,IROA21,IROA11,0.1221,8.0467,-0.0391,279,nget_tx,336,339,275,132,,
280,IROA21,IROA11,0.1366,8.0648,-0.0471,279,nget_tx,336,339,275,132,,
281,IROA21,IROA12,0.1053,8.0652,-0.0304,217,nget_tx,336,337,275,132,,
282,IROA21,IROA12,0.1685,7.8148,-1.385,210,nget_tx,336,337,275,132,,
283,IROA21,IROA13,0.1266,8.6449,-1.9406,250,nget_tx,336,338,275,132,,
284,IROA21,IROA13,0.1685,7.8148,-1.385,210,nget_tx,336,338,275,132,,
285,IRON41,IRON11,0.1557,8.3736,-0.4146,278,nget_tx,342,341,400,132,,
