,Site Code,Site Name,Voltage (kV),Region
1252,PEMB,PEMBROKE,400.0,nget
1253,PENI,PENISARWAUN,400.0,nget
1254,PENN,PENN,132.0,nget
1255,PENN,PENN,275.0,nget
1256,PENN,PENN,400.0,nget
1257,PERH,PENRHOS,132.0,nget
1258,PENT,PENTIR,132.0,nget
1259,PENT,PENTIR,400.0,nget
1260,PENM,PENTRE-MAWR CABLE COMPOUND,400.0,nget
1261,PEWO,PENWORTHAM,275.0,nget
1262,PEWO,PENWORTHAM,400.0,nget
1263,PENE,PENWORTHAM EAST,132.0,nget
1264,PENW,PENWORTHAM WEST,132.0,nget
1265,PITS,PITSMOOR,33.0,nget
1266,PITS,PITSMOOR,275.0,nget
1267,POAB,PONT ABRAHAM,400.0,nget
1268,POPP,POPPLETON,33.0,nget
1269,POPP,POPPLETON,275.0,nget
1270,POWO,PORTERS WOOD ,400.0,nget
1271,PORH,PORTHAM,132.0,nget
1272,PUDM,PUDDINGMILL,400.0,nget
1273,PURI,PURITON TEE,400.0,nget
1274,PYLE,PYLE,132.0,nget
1275,PYLE,PYLE,275.0,nget
1276,QUER,QUERNMOOR TEE,400.0,nget
1277,RAIN,RAINHILL,132.0,nget
1278,RAIN,RAINHILL,275.0,nget
1279,RASS,RASSAU,132.0,nget
1280,RASS,RASSAU,400.0,nget
1281,RATS,RATCLIFFE-ON-SOAR,132.0,nget
1282,RATS,RATCLIFFE-ON-SOAR,275.0,nget
1283,RATS,RATCLIFFE-ON-SOAR,400.0,nget
1284,RAYL,RAYLEIGH,400.0,nget
1285,RAYM,RAYLEIGH MAIN,132.0,nget
1286,REBR,REDBRIDGE,33.0,nget
1287,REBR,REDBRIDGE,275.0,nget
1288,RHIG,RHIGOS,400.0,nget
1289,RICH,RICHBOROUGH,132.0,nget
1290,RICH,RICHBOROUGH,400.0,nget
1291,ROCH,ROCHDALE,132.0,nget
1292,ROCH,ROCHDALE,275.0,nget
1293,ROCH,ROCHDALE,400.0,nget
1294,ROCK,ROCKSAVAGE,132.0,nget
1295,ROCK,ROCKSAVAGE,400.0,nget
1296,ROWD,ROWDOWN,400.0,nget
1297,RUGE,RUGELEY,132.0,nget
1298,RUGE,RUGELEY,400.0,nget
1299,RYEH,RYE HOUSE,132.0,nget
1300,RYEH,RYE HOUSE,400.0,nget
1301,RYHA,RYHALL,400.0,nget
1302,SALL,SALLE,132.0,nget
1303,SAEN,SALTEND NORTH,132.0,nget
1304,SAEN,SALTEND NORTH,275.0,nget
1305,SAES,SALTEND SOUTH,275.0,nget
1306,SALH,SALTHOLME,132.0,nget
1307,SALH,SALTHOLME,275.0,nget
1308,SALH,SALTHOLME,400.0,nget
1309,SAFO,SANDFORD,132.0,nget
1310,SAFO,SANDFORD,400.0,nget
1311,SEAB,SEABANK,132.0,nget
1312,SEAB,SEABANK,400.0,nget
1313,SELL,SELLINDGE,132.0,nget
1314,SELL,SELLINDGE,400.0,nget
1315,SHEE,SHEERNESS,132.0,nget
1316,SHEC,SHEFFIELD CITY,33.0,nget
1317,SHEC,SHEFFIELD CITY,275.0,nget
1318,SHRE,SHREWSBURY,132.0,nget
1319,SHRE,SHREWSBURY,400.0,nget
1320,SHUR,SHURTON,400.0,nget
1321,SING,SINGLEWELL,400.0,nget
1322,SIZE,SIZEWELL,132.0,nget
1323,SIZE,SIZEWELL,400.0,nget
1324,SKLG,SKELTON GRANGE,132.0,nget
1325,SKLG,SKELTON GRANGE,275.0,nget
1326,SHBA,SOUTH HUMBER BANK,400.0,nget
1327,SMAN,SOUTH MANCHESTER,132.0,nget
1328,SMAN,SOUTH MANCHESTER,275.0,nget
1329,SSHI,SOUTH SHIELDS,33.0,nget
1330,SSHI,SOUTHSHIELDS,275.0,nget
1331,SPLN,SPALDING NORTH,400.0,nget
1332,SPEN,SPENNYMOOR,132.0,nget
1333,SPEN,SPENNYMOOR,400.0,nget
1334,SASA,ST ASAPHS,132.0,nget
1335,SJOW,ST.JOHNS WOOD,132.0,nget
1336,SJOW,ST.JOHNS WOOD,275.0,nget
1337,SJOW,ST.JOHNS WOOD,400.0,nget
1338,STAL,STALYBRIDGE,132.0,nget
1339,STAL,STALYBRIDGE,275.0,nget
1340,STAL,STALYBRIDGE,400.0,nget
1341,STAH,STANAH,132.0,nget
1342,STAH,STANAH,400.0,nget
1343,STAY,STAYTHORPE,400.0,nget
1344,STYC,STAYTHORPE C,132.0,nget
1345,STEN,STELLA NORTH,132.0,nget
1346,STES,STELLA SOUTH,132.0,nget
1347,STEW,STELLA WEST,275.0,nget
1348,STEW,STELLA WEST,400.0,nget
1349,STSB,STOCKSBRIDGE,400.0,nget
1350,STOB,STOKE BARDOLPH,132.0,nget
1351,STOB,STOKE BARDOLPH,400.0,nget
1352,SUND,SUNDON,33.0,nget
1353,SUND,SUNDON,132.0,nget
1354,SUND,SUNDON,400.0,nget
1355,SWAN,SWANSEA NORTH,132.0,nget
1356,SWAN,SWANSEA NORTH,275.0,nget
1357,SWAN,SWANSEA NORTH,400.0,nget
1358,TADT,TADCASTER TEE,275.0,nget
1359,TAUN,TAUNTON,132.0,nget
1360,TAUN,TAUNTON,400.0,nget
1361,TEMP,TEMPLEBOROUGH,33.0,nget
1362,TEMP,TEMPLEBOROUGH,275.0,nget
1363,THTO,THORNTON,400.0,nget
1364,THOM,THORPE MARSH,66.0,nget
1365,THOM,THORPE MARSH,275.0,nget
1366,THOM,THORPE MARSH,400.0,nget
1367,THUR,THURCROFT,66.0,nget
1368,THUR,THURCROFT,275.0,nget
1369,TILB,TILBURY,132.0,nget
1370,TILB,TILBURY,275.0,nget
1371,TILB,TILBURY,400.0,nget
1372,TINP,TINSLEY PARK,33.0,nget
1373,TINP,TINSLEY PARK,275.0,nget
1374,TODP,TOD POINT,66.0,nget
1375,TODP,TOD POINT,275.0,nget
1376,TOTT,TOTTENHAM,132.0,nget
1377,TOTT,TOTTENHAM,275.0,nget
1378,TRAW,TRAWSFYNYDD,132.0,nget
1379,TRAW,TRAWSFYNYDD,275.0,nget
1380,TRAW,TRAWSFYNYDD,400.0,nget
1381,TREM,TREMORFA,33.0,nget
1382,TREM,TREMORFA,275.0,nget
1383,TREU,TREUDDYN TEE,400.0,nget
1384,TWIN,TWINSTEAD,132.0,nget
1385,TWIN,TWINSTEAD,400.0,nget
1386,TWST,TWINSTEAD,132.0,nget
1387,TWST,TWINSTEAD,400.0,nget
1388,TYNE,TYNEMOUTH,11.0,nget
1389,TYNE,TYNEMOUTH,132.0,nget
1390,TYNE,TYNEMOUTH,275.0,nget
1391,UPPB,UPPER BOAT,33.0,nget
1392,UPPB,UPPER BOAT,132.0,nget
1393,UPPB,UPPER BOAT,275.0,nget
1394,USKM,USKMOUTH,132.0,nget
1395,USKM,USKMOUTH,275.0,nget
1396,WALH,WALHAM,400.0,nget
1397,WALP,WALPOLE,132.0,nget
1398,WALP,WALPOLE,400.0,nget
1399,WALX,WALTHAM CROSS,275.0,nget
1400,WALX,WALTHAM CROSS,400.0,nget
1401,WARL,WARLEY,132.0,nget
1402,WARL,WARLEY,275.0,nget
1403,WASF,WASHWAY FARM,132.0,nget
1404,WASF,WASHWAY FARM,275.0,nget
1405,WATS,WATFORD SOUTH,132.0,nget
1406,WATS,WATFORD SOUTH,275.0,nget
1407,WEAV,WEAVER JUNCTION,25.0,nget
1408,WBOL,WEST BOLDON,66.0,nget
1409,WBOL,WEST BOLDON,275.0,nget
1410,WBUR,WEST BURTON,132.0,nget
1411,WBUR,WEST BURTON,400.0,nget
1412,WMEL,WEST MELTON,132.0,nget
1413,WMEL,WEST MELTON,275.0,nget
1414,WTHU,WEST THURROCK,33.0,nget
1415,WTHU,WEST THURROCK,400.0,nget
1416,WWEY,WEST WEYBRIDGE,132.0,nget
1417,WWEY,WEST WEYBRIDGE,275.0,nget
1418,WWEY,WEST WEYBRIDGE,400.0,nget
1419,WHAM,WESTHAM,132.0,nget
1420,WHAM,WESTHAM,400.0,nget
1421,WEMA,WESTON MARSH,400.0,nget
1422,WHGA,WHITEGATE,132.0,nget
1423,WHGA,WHITEGATE,275.0,nget
1424,WHSO,WHITSON,33.0,nget
1425,WHSO,WHITSON,275.0,nget
1426,WHSO,WHITSON,400.0,nget
1427,WIEN,WILLENHALL,132.0,nget
1428,WIEN,WILLENHALL,275.0,nget
1429,WISD,WILLESDEN,66.0,nget
1430,WISD,WILLESDEN,132.0,nget
1431,WISD,WILLESDEN,275.0,nget
1432,WISD,WILLESDEN,400.0,nget
1433,WILL,WILLINGTON,132.0,nget
1434,WILL,WILLINGTON,275.0,nget
1435,WILE,WILLINGTON EAST,400.0,nget
1436,WILT,WILTON,275.0,nget
1437,WIMB,WIMBLEDON,132.0,nget
1438,WIMB,WIMBLEDON,275.0,nget
1439,WIMB,WIMBLEDON,400.0,nget
1440,WIBA,WINCOBANK,33.0,nget
1441,WIBA,WINCOBANK,275.0,nget
1442,WYLF,WYLFA,132.0,nget
1443,WYLF,WYLFA,400.0,nget
1444,WYMO,WYMONDLEY,132.0,nget
1445,WYMO,WYMONDLEY,400.0,nget
1446,YAXL,YAXLEY,400.0,nget
1447,YORK,YORK NORTH,400.0,nget
1448,BASO,BOREAS ONSHORE,400,ofto
1449,BASW,BOREAS OFFSHORE,TBC,ofto
1450,BBWO,BURBO BANK EXTENSION ONSHORE,400,ofto
1451,BBWO,BURBO BANK EXTENSION ONSHORE,220,ofto
1452,BBWW,BURBO BANK EXTENSION OFFSHORE,220,ofto
1453,BBWW,BURBO BANK EXTENSION OFFSHORE,34,ofto
1454,BEAT,BEATRICE ONSHORE,400,ofto
1455,BEAT,BEATRICE ONSHORE,220,ofto
1456,BEIW,BEATRICE OFFSHORE,220,ofto
1457,BEIW,BEATRICE OFFSHORE,33,ofto
1458,BOSO,BARROW ONSHORE,132,ofto
1459,BOSW,BARROW OFFSHORE,132,ofto
1460,BOSW,BARROW OFFSHORE,33,ofto
1461,BRST,BURSTALL,400,ofto
1462,BRST,BURSTALL,220,ofto
1463,CODO,CODLING ONSHORE,400,ofto
1464,CODO,CODLING ONSHORE,220,ofto
1465,CODW,CODLING OFFSHORE,220,ofto
1466,CODW,CODLING OFFSHORE,33,ofto
1467,DBAO,DOGGER BANK A ONSHORE,400,ofto
1468,DBAW,DOGGER BANK A OFFSHORE,220,ofto
1469,DBAW,DOGGER BANK A OFFSHORE,33,ofto
1470,DBBO,DOGGER BANK B ONSHORE,400,ofto
1471,DBBW,DOGGER BANK B OFFSHORE,220,ofto
1472,DBBW,DOGGER BANK B OFFSHORE,33,ofto
1473,DBCO,DOGGER BANK C ONSHORE,400,ofto
1474,DBCW,DOGGER BANK C OFFSHORE,220,ofto
1475,DBCW,DOGGER BANK C OFFSHORE,66,ofto
1476,DUDO,DUDGEON ONSHORE,132,ofto
1477,DUDW,DUDGEON OFFSHORE,132,ofto
1478,DUDW,DUDGEON OFFSHORE,33,ofto
1479,EAAW,EAST ANGLIA ONE OFFSHORE,220,ofto
1480,EAAW,EAST ANGLIA ONE OFFSHORE,66,ofto
1481,EABO,EAST ANGLIA TWO ONSHORE,400,ofto
1482,EABO,EAST ANGLIA TWO ONSHORE,275,ofto
1483,EABW,EAST ANGLIA TWO OFFSHORE,275,ofto
1484,EABW,EAST ANGLIA TWO OFFSHORE,66,ofto
1485,EACO,EAST ANGLIA THREE ONSHORE,400,ofto
1486,EACW,EAST ANGLIA THREE OFFHORE,400,ofto
1487,EACW,EAST ANGLIA THREE OFFHORE,66,ofto
1488,EANO,EAST ANGLIA ONE NORTH ONSHORE,400,ofto
1489,EANO,EAST ANGLIA ONE NORTH ONSHORE,220,ofto
1490,EANW,EAST ANGLIA ONE NORTH OFFSHORE,220,ofto
1491,EANW,EAST ANGLIA ONE NORTH OFFSHORE,66,ofto
1492,FOFO,FIRTH OF FORTH ONSHORE,275,ofto
1493,FOFW,FIRTH OF FORTH OFFSHORE,275,ofto
1494,FOFW,FIRTH OF FORTH OFFSHORE,66,ofto
1495,GALO,GALLOPER ONSHORE,132,ofto
1496,GANW,GALLOPER NORTH OFFSHORE,132,ofto
1497,GANW,GALLOPER NORTH OFFSHORE,33,ofto
1498,GGON,GREATER GABBARD ONSHORE,132,ofto
1499,GREG,GREATER GABBARD OFFSHORE,132,ofto
1500,GREG,GREATER GABBARD OFFSHORE,33,ofto
1501,GUNS,GUNFLEET SANDS OFFSHORE,132,ofto
1502,GUNS,GUNFLEET SANDS OFFSHORE,33,ofto
1503,GWAW,GWYNT-Y-MOR OFFSHORE A,132,ofto
1504,GWAW,GWYNT-Y-MOR OFFSHORE A,33,ofto
1505,GWBW,GWYNT-Y-MOR OFFSHORE B,132,ofto
1506,GWBW,GWYNT-Y-MOR OFFSHORE B,33,ofto
1507,GWYO,GWYNT-Y-MOR ONSHORE,132,ofto
1508,HOWA,HORNSEA ONE ONSHORE,400,ofto
1509,HOWA,HORNSEA ONE ONSHORE,220,ofto
1510,HOWB,HORNSEA TWO ONSHORE,400,ofto
1511,HOWB,HORNSEA TWO ONSHORE,220,ofto
1512,HOWC,HORNSEA THREE ONSHORE,400,ofto
1513,HOWD,HORNSEA FOUR ONSHORE,400,ofto
1514,HOWD,HORNSEA FOUR ONSHORE,220,ofto
1515,HOWR,HORNSEA REACTOR PLATFORM,220,ofto
1516,HOWW,HORNSEA OFFSHORE,400,ofto
1517,HOWW,HORNSEA OFFSHORE,220,ofto
1518,HOWW,HORNSEA OFFSHORE,66,ofto
1519,HOWW,HORNSEA OFFSHORE,34,ofto
1520,HUMO,HUMBER GATEWAY ONSHORE,275,ofto
1521,HUMO,HUMBER GATEWAY ONSHORE,132,ofto
1522,HUMO,HUMBER GATEWAY ONSHORE,33,ofto
1523,HUMW,HUMBER GATEWAY OFFSHORE,132,ofto
1524,HUMW,HUMBER GATEWAY OFFSHORE,33,ofto
1525,INCO,INCH CAPE ONSHORE,275,ofto
1526,INCO,INCH CAPE ONSHORE,220,ofto
1527,INCW,INCH CAPE OFFSHORE,275,ofto
1528,INCW,INCH CAPE OFFSHORE,66,ofto
1529,LINO,LINCS ONSHORE,400,ofto
1530,LINO,LINCS ONSHORE,132,ofto
1531,LINS,LINCS OFFSHORE,132,ofto
1532,LINS,LINCS OFFSHORE,33,ofto
1533,LOAW,LONDON ARRAY OFFSHORE WIND FARM - PLATFORM 1,150,ofto
1534,LOAW,LONDON ARRAY OFFSHORE WIND FARM - PLATFORM 1,33,ofto
1535,LONO,LONDON ARRAY ONSHORE,400,ofto
1536,LONO,LONDON ARRAY ONSHORE,150,ofto
1537,LOYW,LONDON ARRAY OFFSHORE WIND FARM - PLATFORM 2,150,ofto
1538,LOYW,LONDON ARRAY OFFSHORE WIND FARM - PLATFORM 2,33,ofto
1539,MORF,MORAY EAST ONSHORE,275,ofto
1540,MORO,MORAY EAST ONSHORE,220,ofto
1541,MOWE,MORAY EAST OFFSHORE,220,ofto
1542,MOWE,MORAY EAST OFFSHORE,66,ofto
1543,MOWO,MORAY WEST ONSHORE,400,ofto
1544,MOWO,MORAY WEST ONSHORE,220,ofto
1545,MOWW,MORAY WEST OFFSHORE,220,ofto
1546,MOWW,MORAY WEST OFFSHORE,66,ofto
1547,NNGO,NEART NA GAOITHE ONSHORE,400,ofto
1548,NNGO,NEART NA GAOITHE ONSHORE,220,ofto
1549,NNGW,NEART NA GAOITHE OFFSHORE,220,ofto
1550,NNGW,NEART NA GAOITHE OFFSHORE,66,ofto
1551,ORMO,ORMONDE ONSHORE,132,ofto
1552,ORMO,ORMONDE ONSHORE,33,ofto
1553,ORMW,ORMONDE OFFSHORE,132,ofto
1554,ORMW,ORMONDE OFFSHORE,33,ofto
1555,RACO,RACEBANK ONSHORE,400,ofto
1556,RACO,RACEBANK ONSHORE,220,ofto
1557,RACW,RACEBANK OFFSHORE,220,ofto
1558,RACW,RACEBANK OFFSHORE,33,ofto
1559,RAMW,RAMPION OFFSHORE,150,ofto
1560,RAMW,RAMPION OFFSHORE,33,ofto
1561,RBBO,RACEBANK EXTENSION ONSHORE,400,ofto
1562,RBBO,RACEBANK EXTENSION ONSHORE,220,ofto
1563,RBBW,RACEBANK EXTENSION OFFSHORE,220,ofto
1564,RBBW,RACEBANK EXTENSION OFFSHORE,66,ofto
1565,RORE,ROBIN RIGG EAST ONSHORE,132,ofto
1566,RORE,ROBIN RIGG EAST ONSHORE,33,ofto
1567,RORW,ROBIN RIGG WEST ONSHORE,132,ofto
1568,RORW,ROBIN RIGG WEST ONSHORE,33,ofto
1569,RREW,ROBIN RIGG EAST OFFSHORE,132,ofto
1570,RRWW,ROBIN RIGG WEST OFFSHORE,132,ofto
1571,SGRO,SEAGREEN ONE 220KV ONSHORE,220,ofto
1572,SGRW,SEAGREEN ONE OFFSHORE,220,ofto
1573,SGRW,SEAGREEN ONE OFFSHORE,66,ofto
1574,SGRX,SEAGREEN ONE 275KV ONSHORE,275,ofto
1575,SOFO,SOFIA ONSHORE,400,ofto
1576,SOFW,SOFIA OFFSHORE,400,ofto
1577,SOFW,SOFIA OFFSHORE,66,ofto
1578,SSAW,SHERRINGHAM SHOAL OFFSHORE PLATFORM 1,132,ofto
1579,SSAW,SHERRINGHAM SHOAL OFFSHORE PLATFORM 1,33,ofto
1580,SSBW,SHERRINGHAM SHOAL OFFSHORE PLATFORM 2,132,ofto
1581,SSBW,SHERRINGHAM SHOAL OFFSHORE PLATFORM 2,33,ofto
1582,THAW,THANET WIND ONSHORE,132,ofto
1583,THOW,THANET WIND OFFSHORE,132,ofto
1584,THOW,THANET WIND OFFSHORE,33,ofto
1585,TKNE,TRITON KNOLL EAST OFFSHORE,220,ofto
1586,TKNE,TRITON KNOLL EAST OFFSHORE,66,ofto
1587,TKNO,TRITON KNOLL ONSHORE,400,ofto
1588,TKNO,TRITON KNOLL ONSHORE,220,ofto
1589,TKNW,TRITON KNOLL WEST OFFSHORE,220,ofto
1590,TKNW,TRITON KNOLL WEST OFFSHORE,66,ofto
1591,TWNE,TWINEHAM ONSHORE,400,ofto
1592,TWNE,TWINEHAM ONSHORE,150,ofto
1593,VGEO,VANGUARD EAST ONSHORE,400,ofto
1594,VGEW,VANGUARD EAST OFFSHORE,TBC,ofto
1595,VGWO,VANGUARD WEST ONSHORE,400,ofto
1596,VGWW,VANGUARD WEST OFFSHORE,TBC,ofto
1597,WAAO,WALNEY 1 ONSHORE,132,ofto
1598,WAAW,WALNEY 1 OFFSHORE,132,ofto
1599,WAAW,WALNEY 1 OFFSHORE,33,ofto
1600,WABO,WALNEY 2 ONSHORE,132,ofto
1601,WABW,WALNEY 2 OFFSHORE,132,ofto
1602,WABW,WALNEY 2 OFFSHORE,33,ofto
1603,WACW,WALNEY 3 OFFSHORE,220,ofto
1604,WACW,WALNEY 3 OFFSHORE,34,ofto
1605,WADW,WALNEY 4 OFFSHORE,220,ofto
1606,WADW,WALNEY 4 OFFSHORE,34,ofto
1607,WDSO,WEST OF DUDDON SANDS ONSHORE,400,ofto
1608,WDSO,WEST OF DUDDON SANDS ONSHORE,155,ofto
1609,WDSW,WEST OF DUDDON SANDS OFFSHORE,155,ofto
1610,WDSW,WEST OF DUDDON SANDS OFFSHORE,34,ofto
1611,WERO,WESTERMOST ROUGH OFFSHORE,150,ofto
1612,WERO,WESTERMOST ROUGH ONSHORE,275,ofto
1613,WERW,WESTERMOST ROUGH OFFSHORE,150,ofto
1614,WERW,WESTERMOST ROUGH OFFSHORE,34,ofto
1615,WOWE,WALNEY EXTENSION,400,ofto
1616,WOWE,WALNEY EXTENSION,220,ofto
